,q,category,attribute,audio_file_name,task_script
,,,,,
1,,vehicle,vehicle,a.wav,can you spy vehicles 
2,,emotion,delighted,b.wav,can you spy people who look delighted
3,,color,crimson,c.wav,can you spy objects in crimson
4,,color,azure,d.wav,can you spy objects in azure
,,aquatic,aquatic,f.wav,can you spy aquatic animals
6,,size,gigantic,g.wav,can you spy objects that look gigantic
7,,size,minuscule,h.wav,can you spy objects that are minuscule
8,,activity,recreational,k.wav,can you spy people who are doing recreational activities
9,,cloth,garment,l.wav,can you spy garments